user_id,group,landing_page,time_spent_on_the_page,converted,language_preferred
546592,control,old,3.48,no,Spanish
546468,treatment,new,7.13,yes,English
546462,treatment,new,4.4,no,Spanish
546567,control,old,3.02,no,French
546459,treatment,new,4.75,yes,Spanish
546558,control,old,5.28,yes,English
546448,treatment,new,5.25,yes,French
546581,control,old,6.53,yes,Spanish
546461,treatment,new,10.71,yes,French
546548,control,old,2.08,no,English
546588,control,old,6.21,yes,Spanish
546546,control,old,2.58,yes,English
546491,treatment,new,5.86,yes,Spanish
546478,treatment,new,6.03,yes,French
546578,control,old,8.72,yes,Spanish
546466,treatment,new,6.27,yes,Spanish
546443,treatment,new,8.73,no,English
546555,control,old,0.4,no,English
546493,control,old,10.3,yes,English
546549,control,old,3.88,yes,English
546560,control,old,2.66,no,French
546584,control,old,7.03,yes,Spanish
546450,treatment,new,3.65,no,English
546475,treatment,new,7.02,yes,English
546456,treatment,new,6.18,no,Spanish
546455,treatment,new,4.39,no,English
546469,treatment,new,9.49,yes,English
546586,control,old,4.05,no,Spanish
546471,treatment,new,7.81,yes,French
546575,control,old,4.28,no,French
546464,treatment,new,5.41,yes,English
546556,control,old,3.52,yes,English
546585,control,old,5.39,yes,Spanish
546577,control,old,4.52,no,Spanish
546587,control,old,4.46,no,Spanish
546552,control,old,8.5,yes,English
546551,control,old,3.13,no,English
546557,control,old,6.04,yes,English
546487,treatment,new,1.65,no,Spanish
546589,control,old,0.19,no,Spanish
546559,control,old,8.46,yes,French
546570,control,old,1.92,no,French
546489,treatment,new,7.16,yes,Spanish
546453,treatment,new,7.16,yes,English
546488,treatment,new,3.91,no,English
546565,control,old,8.02,no,French
546460,treatment,new,5.37,yes,French
546458,treatment,new,7.23,yes,Spanish
546492,treatment,new,8.08,yes,Spanish
546473,treatment,new,10.5,yes,English
546554,control,old,0.22,no,English
546457,treatment,new,5.65,no,English
546479,treatment,new,6.47,yes,Spanish
546576,control,old,4.71,no,Spanish
546482,treatment,new,6.41,yes,Spanish
546563,control,old,0.93,no,French
546569,control,old,1.81,no,French
546454,treatment,new,8.3,yes,French
546562,control,old,7.4,yes,French
546574,control,old,9.15,no,French
546470,treatment,new,6.01,yes,French
546467,treatment,new,6.79,yes,French
546572,control,old,4.18,no,French
546590,control,old,5.47,no,Spanish
546553,control,old,5.96,yes,English
546445,treatment,new,7.27,yes,French
546545,control,old,6.6,yes,English
546582,control,old,4.75,yes,Spanish
546484,treatment,new,6.7,no,Spanish
546579,control,old,2.23,no,Spanish
546568,control,old,0.4,no,French
546476,treatment,new,5.42,yes,French
546452,treatment,new,5.08,yes,English
546444,treatment,new,7.46,yes,English
546591,control,old,4.87,no,Spanish
546583,control,old,6.57,yes,Spanish
546573,control,old,1.44,no,French
546485,treatment,new,3.88,no,Spanish
546486,treatment,new,9.12,yes,French
546547,control,old,3.21,yes,English
546490,treatment,new,4.68,no,French
546449,treatment,new,5.26,yes,French
546463,treatment,new,5.74,yes,Spanish
546580,control,old,2.9,no,Spanish
546571,control,old,4.3,no,French
546564,control,old,0.91,no,French
546465,treatment,new,6.71,no,English
546480,treatment,new,3.68,no,French
546447,treatment,new,3.3,no,French
546561,control,old,6.04,yes,French
546477,treatment,new,5.4,no,French
546451,treatment,new,8.47,yes,English
546566,control,old,8.35,no,French
546474,treatment,new,4.94,no,French
546550,control,old,3.05,no,English
546446,treatment,new,5.15,no,Spanish
546544,control,old,6.52,yes,English
546472,treatment,new,7.07,yes,Spanish
546481,treatment,new,6.2,yes,Spanish
546483,treatment,new,5.86,yes,English
